1 MESSAGETABLE
{
0x0,  	"The operation completed successfully."
-2146875379,  	"The UPN is unavailable and cannot be added to the Subject Alternate name."
-2146875378,  	"The Active Directory GUID is unavailable and cannot be added to the Subject Alternate name."
-2146875377,  	"The DNS name is unavailable and cannot be added to the Subject Alternate name."
-2146875376,  	"The request includes a private key for archival by the server, but key archival is not enabled for the specified certificate template."
-2146875375,  	"The public key does not meet the minimum size required by the specified certificate template."
-2146873344,  	"The key is not exportable."
-2146873343,  	"You cannot add the root CA certificate into your local store."
-2146873342,  	"The key archival hash attribute was not found in the response."
-2146873341,  	"An unexpetced key archival hash attribute was found in the response."
-2146873340,  	"There is a key archival hash mismatch between the request and the response."
-2146873339,  	"Signing certificate cannot include SMIME extension."
-2146869247,  	"A system-level error occurred while verifying trust."
-2146869246,  	"The certificate for the signer of the message is invalid or not found."
-2146869245,  	"One of the counter signatures was invalid."
-2146869244,  	"The signature of the certificate can not be verified."
-2146869243,  	"The timestamp signature and/or certificate could not be verified or is malformed."
-2146869232,  	"The digital signature of the object did not verify."
-2146869223,  	"A certificate's basic constraint extension has not been observed."
-2146869218,  	"The certificate does not meet or contain the Authenticode financial extensions."
-2146865151,  	"Tried to reference a part of the file outside the proper range."
-2146865150,  	"Could not retrieve an object from the file."
-2146865149,  	"Could not find the head table in the file."
-2146865148,  	"The magic number in the head table is incorrect."
-2146865147,  	"The offset table has incorrect values."
-2146865146,  	"Duplicate table tags or tags out of alphabetical order."
-2146865145,  	"A table does not start on a long word boundary."
-2146865144,  	"First table does not appear after header information."
-2146865143,  	"Two or more tables overlap."
-2146865142,  	"Too many pad bytes between tables or pad bytes are not 0."
-2146865141,  	"File is too small to contain the last table."
-2146865140,  	"A table checksum is incorrect."
-2146865139,  	"The file checksum is incorrect."
-2146865136,  	"The signature does not have the correct attributes for the policy."
-2146865135,  	"The file did not pass the hints check."
-2146865134,  	"The file is not an OpenType file."
-2146865133,  	"Failed on a file operation (open, map, read, write)."
-2146865132,  	"A call to a CryptoAPI function failed."
-2146865131,  	"There is a bad version number in the file."
-2146865130,  	"The structure of the DSIG table is incorrect."
-2146865129,  	"A check failed in a partially constant table."
-2146865128,  	"Some kind of structural error."
-2146762751,  	"Unknown trust provider."
-2146762750,  	"The trust verification action specified is not supported by the specified trust provider."
-2146762749,  	"The form specified for the subject is not one supported or known by the specified trust provider."
-2146762748,  	"The subject is not trusted for the specified action."
-2146762747,  	"Error due to problem in ASN.1 encoding process."
-2146762746,  	"Error due to problem in ASN.1 decoding process."
-2146762745,  	"Reading / writing Extensions where Attributes are appropriate, and visa versa."
-2146762744,  	"Unspecified cryptographic failure."
-2146762743,  	"The size of the data could not be determined."
-2146762742,  	"The size of the indefinite-sized data could not be determined."
-2146762741,  	"This object does not read and write self-sizing data."
-2146762496,  	"No signature was present in the subject."
-2146762495,  	"A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file."
-2146762494,  	"The validity periods of the certification chain do not nest correctly."
-2146762493,  	"A certificate that can only be used as an end-entity is being used as a CA or visa versa."
-2146762492,  	"A path length constraint in the certification chain has been violated."
-2146762491,  	"A certificate contains an unknown extension that is marked 'critical'."
-2146762490,  	"A certificate being used for a purpose other than the ones specified by its CA."
-2146762489,  	"A parent of a given certificate in fact did not issue that child certificate."
-2146762488,  	"A certificate is missing or has an empty value for an important field, such as a subject or issuer name."
-2146762487,  	"A certificate chain processed, but terminated in a root certificate which is not trusted by the trust provider."
-2146762486,  	"An internal certificate chaining error has occurred."
-2146762485,  	"Generic trust failure."
-2146762484,  	"A certificate was explicitly revoked by its issuer."
-2146762483,  	"The certification path terminates with the test root which is not trusted with the current policy settings."
-2146762482,  	"The revocation process could not continue - the certificate(s) could not be checked."
-2146762481,  	"The certificate's CN name does not match the passed value."
-2146762480,  	"The certificate is not valid for the requested usage."
-2146762479,  	"The certificate was explicitly marked as untrusted by the user."
-2146762478,  	"A certification chain processed correctly, but one of the CA certificates is not trusted by the policy provider."
-2146762477,  	"The certificate has invalid policy."
-2146762476,  	"The certificate has an invalid name. The name is not included in the permitted list or is explicitly excluded."
-2146500608,  	"A non-empty line was encountered in the INF before the start of a section."
-2146500607,  	"A section name marker in the INF is not complete, or does not exist on a line by itself."
-2146500606,  	"An INF section was encountered whose name exceeds the maximum section name length."
-2146500605,  	"The syntax of the INF is invalid."
-2146500352,  	"The style of the INF is different than what was requested."
-2146500351,  	"The required section was not found in the INF."
-2146500350,  	"The required line was not found in the INF."
-2146500349,  	"The files affected by the installation of this file queue have not been backed up for uninstall."
-2146500096,  	"The INF or the device information set or element does not have an associated install class."
-2146500095,  	"The INF or the device information set or element does not match the specified install class."
-2146500094,  	"An existing device was found that is a duplicate of the device being manually installed."
-2146500093,  	"There is no driver selected for the device information set or element."
-2146500092,  	"The requested device registry key does not exist."
-2146500091,  	"The device instance name is invalid."
-2146500090,  	"The install class is not present or is invalid."
-2146500089,  	"The device instance cannot be created because it already exists."
-2146500088,  	"The operation cannot be performed on a device information element that has not been registered."
-2146500087,  	"The device property code is invalid."
-2146500086,  	"The INF from which a driver list is to be built does not exist."
-2146500085,  	"The device instance does not exist in the hardware tree."
-2146500084,  	"The icon representing this install class cannot be loaded."
-2146500083,  	"The class installer registry entry is invalid."
-2146500082,  	"The class installer has indicated that the default action should be performed for this installation request."
